SecID, Time, Quantity, Price, OrderType, OrderID
AAPL,2020-10-25-02-26-49,78,120.32,BUY,82,
AAPL,2020-10-25-02-33-18,172,121.05,SELL,83,
AAPL,2020-10-25-02-29-20,129,120.86,SELL,84,
AAPL,2020-10-25-02-30-33,61,120.06,SELL,85,
AAPL,2020-10-25-02-12-24,60,120.2,SELL,86,
AAPL,2020-10-25-02-09-34,107,120.45,SELL,87,
AAPL,2020-10-25-02-36-29,105,121,SELL,88,
AAPL,2020-10-25-02-29-17,134,120.29,BUY,89,
AAPL,2020-10-25-02-31-10,89,120.4,SELL,90,
AAPL,2020-10-25-02-33-33,77,120.98,SELL,91,
AAPL,2020-10-25-02-27-24,122,120.43,BUY,92,
AAPL,2020-10-25-02-34-14,114,120.78,SELL,93,
AAPL,2020-10-25-02-36-15,139,120.97,BUY,94,
AAPL,2020-10-25-02-37-56,174,121.34,BUY,95,
AAPL,2020-10-25-02-30-32,73,120.8,SELL,96,
AAPL,2020-10-25-02-24-48,175,120.97,SELL,97,
AAPL,2020-10-25-02-42-07,118,120.34,SELL,98,
AAPL,2020-10-25-02-20-28,94,120.49,BUY,99,
AAPL,2020-10-25-02-20-11,149,120.83,BUY,100,
AAPL,2020-10-25-02-36-02,134,121.17,BUY,101,
AAPL,2020-10-25-02-08-44,125,120.48,BUY,102,
AAPL,2020-10-25-02-08-20,179,120.16,BUY,103,
AAPL,2020-10-25-02-33-09,50,120,SELL,104,
AAPL,2020-10-25-02-11-25,86,120.55,SELL,105,
AAPL,2020-10-25-02-40-14,163,120.7,SELL,106,
AAPL,2020-10-25-02-24-57,154,120.63,BUY,107,
AAPL,2020-10-25-02-39-35,15,120.33,SELL,108,
AAPL,2020-10-25-02-24-39,37,120.86,BUY,109,
AAPL,2020-10-25-02-30-03,178,120.78,SELL,110,
AAPL,2020-10-25-02-49-48,111,120.82,BUY,111,
AAPL,2020-10-25-02-49-21,131,120.16,BUY,112,
AAPL,2020-10-25-02-32-14,133,121.63,SELL,113,
AAPL,2020-10-25-02-48-01,119,120.44,SELL,114,
AAPL,2020-10-25-02-41-56,93,120.71,SELL,115,
AAPL,2020-10-25-02-24-22,135,121.14,BUY,116,
AAPL,2020-10-25-02-19-32,141,121.1,BUY,117,
AAPL,2020-10-25-02-08-43,161,121.01,BUY,118,
AAPL,2020-10-25-02-26-07,75,120.85,BUY,119,
AAPL,2020-10-25-02-23-04,145,120.53,SELL,120,
AAPL,2020-10-25-02-14-27,155,120.89,SELL,121,
AAPL,2020-10-25-02-33-00,135,120.08,SELL,122,
AAPL,2020-10-25-02-27-56,118,120.78,BUY,123,
AAPL,2020-10-25-02-23-54,155,120.74,SELL,124,
AAPL,2020-10-25-02-38-20,113,120.21,BUY,125,
AAPL,2020-10-25-02-29-31,109,120.28,BUY,126,
AAPL,2020-10-25-02-23-09,72,120.54,BUY,127,
AAPL,2020-10-25-02-23-23,167,120.75,SELL,128,
AAPL,2020-10-25-02-22-45,109,120.27,BUY,129,
AAPL,2020-10-25-02-47-19,91,120.68,SELL,130,
AAPL,2020-10-25-02-36-47,89,120.7,SELL,131,
AAPL,2020-10-25-02-21-20,117,120.79,SELL,132,
AAPL,2020-10-25-02-16-04,131,120.56,BUY,133,
AAPL,2020-10-25-02-27-08,115,120.25,SELL,134,
AAPL,2020-10-25-02-18-33,124,120.61,SELL,135,
AAPL,2020-10-25-02-30-44,69,120.79,SELL,136,
AAPL,2020-10-25-02-50-44,126,120.75,BUY,137,
AAPL,2020-10-25-02-38-55,115,120.41,BUY,138,
AAPL,2020-10-25-02-32-04,73,120.8,BUY,139,
AAPL,2020-10-25-02-04-50,104,119.8,BUY,140,
AAPL,2020-10-25-02-23-30,119,120.44,BUY,141,
AAPL,2020-10-25-02-31-56,78,119.97,BUY,142,
AAPL,2020-10-25-02-16-52,100,120.54,BUY,143,
AAPL,2020-10-25-02-13-08,101,121.04,BUY,144,
AAPL,2020-10-25-02-31-45,90,120.34,BUY,145,
AAPL,2020-10-25-02-35-25,75,120.33,BUY,146,
AAPL,2020-10-25-02-28-13,103,120.29,BUY,147,
AAPL,2020-10-25-02-32-14,126,120.32,SELL,148,
AAPL,2020-10-25-02-29-49,112,120.62,BUY,149,
AAPL,2020-10-25-02-32-56,76,120.13,SELL,150,
AAPL,2020-10-25-02-25-24,143,120.3,SELL,151,
AAPL,2020-10-25-02-36-37,91,120.38,SELL,152,
AAPL,2020-10-25-02-11-56,50,120.6,SELL,153,
AAPL,2020-10-25-02-08-52,115,121.04,SELL,154,
AAPL,2020-10-25-02-13-06,110,120.64,BUY,155,
AAPL,2020-10-25-02-50-25,84,120.13,SELL,156,
AAPL,2020-10-25-02-49-44,110,120.62,SELL,157,
AAPL,2020-10-25-02-27-44,137,119.91,BUY,158,
AAPL,2020-10-25-02-50-01,166,120.68,SELL,159,
AAPL,2020-10-25-02-42-02,163,120.01,BUY,160,
AAPL,2020-10-25-02-31-14,96,120.2,SELL,161,
AAPL,2020-10-25-02-27-03,160,121.16,BUY,162,
AAPL,2020-10-25-02-26-55,145,120.47,SELL,163,
AAPL,2020-10-25-02-38-22,130,120.12,BUY,164,
AAPL,2020-10-25-02-11-37,102,120.53,SELL,165,
AAPL,2020-10-25-02-27-52,122,120.59,BUY,166,
AAPL,2020-10-25-02-50-49,115,120.29,BUY,167,
AAPL,2020-10-25-02-33-49,133,121.12,BUY,168,
AAPL,2020-10-25-02-31-05,139,120.81,SELL,169,
AAPL,2020-10-25-02-40-44,106,120.7,SELL,170,
AAPL,2020-10-25-02-35-25,124,120.79,BUY,171,
AAPL,2020-10-25-02-47-30,82,120.51,SELL,172,
AAPL,2020-10-25-02-34-25,97,120.41,SELL,173,
AAPL,2020-10-25-02-40-18,112,120.78,SELL,174,
AAPL,2020-10-25-02-10-14,206,120.52,SELL,175,
AAPL,2020-10-25-02-08-32,159,120.75,BUY,176,
AAPL,2020-10-25-02-44-56,221,120.43,SELL,177,
AAPL,2020-10-25-02-13-04,131,120.5,BUY,178,
AAPL,2020-10-25-02-36-12,124,120.6,SELL,179,
AAPL,2020-10-25-02-04-05,105,120.35,SELL,180,
AAPL,2020-10-25-02-28-43,93,120.63,BUY,181,
AAPL,2020-10-25-02-28-52,92,120.26,SELL,182,
AAPL,2020-10-25-02-36-19,88,120.45,BUY,183,
AAPL,2020-10-25-02-26-02,70,119.76,BUY,184,
AAPL,2020-10-25-02-25-57,123,120.39,SELL,185,
AAPL,2020-10-25-02-22-25,99,120.95,SELL,186,
AAPL,2020-10-25-02-29-24,106,120.74,SELL,187,
AAPL,2020-10-25-02-34-18,132,119.79,SELL,188,
AAPL,2020-10-25-02-27-39,128,120.43,BUY,189,
AAPL,2020-10-25-02-22-58,141,120.39,BUY,190,
AAPL,2020-10-25-02-34-21,197,120.87,SELL,191,
AAPL,2020-10-25-02-25-52,122,120,BUY,192,
AAPL,2020-10-25-02-51-33,131,120.6,SELL,193,
AAPL,2020-10-25-02-21-12,179,120.27,BUY,194,
AAPL,2020-10-25-02-38-14,100,120.17,BUY,195,
AAPL,2020-10-25-02-24-41,148,120.62,BUY,196,
AAPL,2020-10-25-02-20-14,144,120.78,SELL,197,
AAPL,2020-10-25-02-22-18,100,120.27,BUY,198,
AAPL,2020-10-25-02-35-44,140,120.58,BUY,199,
AAPL,2020-10-25-02-31-12,192,120.97,SELL,200,
AAPL,2020-10-25-02-24-12,105,120.74,BUY,201,
AAPL,2020-10-25-02-19-22,104,120.55,SELL,202,
AAPL,2020-10-25-02-39-31,157,120.43,BUY,203,
AAPL,2020-10-25-02-33-41,174,120.76,BUY,204,
AAPL,2020-10-25-02-32-15,207,120.43,SELL,205,
AAPL,2020-10-25-02-34-43,156,120.96,BUY,206,
AAPL,2020-10-25-02-31-47,29,120.44,BUY,207,
AAPL,2020-10-25-02-26-39,90,120.42,SELL,208,
AAPL,2020-10-25-02-45-25,179,120.34,SELL,209,
AAPL,2020-10-25-02-41-53,66,120.28,BUY,210,
AAPL,2020-10-25-02-11-54,87,120.08,SELL,211,
AAPL,2020-10-25-02-20-58,113,120.33,SELL,212,
AAPL,2020-10-25-02-34-26,124,120.74,SELL,213,
AAPL,2020-10-25-02-30-44,53,120.49,BUY,214,
AAPL,2020-10-25-02-46-14,146,120.17,BUY,215,
AAPL,2020-10-25-02-22-55,118,120.99,SELL,216,
AAPL,2020-10-25-02-47-43,136,120.93,BUY,217,
AAPL,2020-10-25-02-23-56,81,120.15,BUY,218,
AAPL,2020-10-25-02-36-21,113,120.31,BUY,219,
AAPL,2020-10-25-02-18-03,66,120.12,BUY,220,
AAPL,2020-10-25-02-25-38,116,120.24,BUY,221,
AAPL,2020-10-25-02-35-01,84,120.33,BUY,222,
AAPL,2020-10-25-02-35-01,81,120.36,SELL,223,
AAPL,2020-10-25-02-25-06,112,120.18,BUY,224,
AAPL,2020-10-25-02-56-49,100,120.99,SELL,225,
AAPL,2020-10-25-02-31-07,145,120.78,SELL,226,
AAPL,2020-10-25-02-45-24,81,121.01,SELL,227,
AAPL,2020-10-25-02-17-09,74,120.35,SELL,228,
AAPL,2020-10-25-02-23-13,100,119.62,SELL,229,
AAPL,2020-10-25-02-30-27,110,121.16,SELL,230,
AAPL,2020-10-25-02-39-44,155,120.31,SELL,231,
AAPL,2020-10-25-02-43-34,120,120.55,BUY,232,
AAPL,2020-10-25-02-18-15,122,120.25,BUY,233,
AAPL,2020-10-25-02-40-05,109,120.27,SELL,234,
AAPL,2020-10-25-02-24-11,159,120.56,BUY,235,
AAPL,2020-10-25-02-25-48,178,120.12,BUY,236,
AAPL,2020-10-25-02-32-54,70,120.45,SELL,237,
AAPL,2020-10-25-02-13-21,88,121.05,SELL,238,
AAPL,2020-10-25-02-39-04,117,120.35,SELL,239,
AAPL,2020-10-25-02-08-59,95,120.17,SELL,240,
AAPL,2020-10-25-02-33-41,91,120.59,SELL,241,
AAPL,2020-10-25-02-30-43,148,120.42,BUY,242,
AAPL,2020-10-25-02-29-06,174,120.3,SELL,243,
AAPL,2020-10-25-02-48-22,145,120.79,BUY,244,
AAPL,2020-10-25-02-33-33,153,120.21,SELL,245,
AAPL,2020-10-25-02-34-16,95,120.16,BUY,246,
AAPL,2020-10-25-02-26-17,117,120.3,BUY,247,
AAPL,2020-10-25-02-33-12,78,120.64,SELL,248,
AAPL,2020-10-25-02-07-19,108,120.96,SELL,249,
AAPL,2020-10-25-02-55-12,52,120.05,BUY,250,
AAPL,2020-10-25-02-56-07,36,120.65,SELL,251,
AAPL,2020-10-25-02-22-07,160,120.31,SELL,252,
AAPL,2020-10-25-02-07-55,213,120.41,SELL,253,
AAPL,2020-10-25-02-35-06,84,120.5,BUY,254,
AAPL,2020-10-25-02-41-47,55,120.35,SELL,255,
AAPL,2020-10-25-02-13-13,192,119.92,SELL,256,
AAPL,2020-10-25-02-20-39,37,120.85,SELL,257,
AAPL,2020-10-25-02-32-34,116,120.26,SELL,258,
AAPL,2020-10-25-02-27-03,107,120.15,BUY,259,
AAPL,2020-10-25-02-35-09,150,119.77,BUY,260,
AAPL,2020-10-25-02-34-37,185,120.3,BUY,261,
AAPL,2020-10-25-02-12-13,84,120.19,SELL,262,
AAPL,2020-10-25-02-35-48,113,120.58,SELL,263,
AAPL,2020-10-25-02-29-00,137,120.17,SELL,264,
AAPL,2020-10-25-02-31-17,126,120.48,BUY,265,
AAPL,2020-10-25-02-40-55,86,120.89,SELL,266,
AAPL,2020-10-25-02-42-51,136,120.4,SELL,267,
AAPL,2020-10-25-02-38-29,158,120.68,BUY,268,
AAPL,2020-10-25-02-17-38,138,120.61,BUY,269,
AAPL,2020-10-25-02-11-44,205,120.6,BUY,270,
AAPL,2020-10-25-02-13-58,87,120.27,BUY,271,
AAPL,2020-10-25-02-40-15,154,120.14,SELL,272,
AAPL,2020-10-25-02-28-04,184,120.51,SELL,273,
AAPL,2020-10-25-02-20-23,89,121.22,BUY,274,
AAPL,2020-10-25-02-26-05,81,120.51,BUY,275,
AAPL,2020-10-25-02-43-48,135,120.61,SELL,276,
AAPL,2020-10-25-02-44-01,145,121.12,SELL,277,
AAPL,2020-10-25-02-17-15,145,120.31,SELL,278,
AAPL,2020-10-25-02-41-29,155,120.5,BUY,279,
AAPL,2020-10-25-02-12-14,131,120.63,BUY,280,
AAPL,2020-10-25-02-25-50,94,120.36,BUY,281,
AAPL,2020-10-25-02-18-21,117,120.69,SELL,282,
AAPL,2020-10-25-02-42-23,108,120.25,BUY,283,
AAPL,2020-10-25-02-27-12,58,120.47,BUY,284,
AAPL,2020-10-25-02-21-51,151,120.19,BUY,285,
AAPL,2020-10-25-02-20-25,165,120.54,BUY,286,
AAPL,2020-10-25-02-13-13,190,120.48,SELL,287,
AAPL,2020-10-25-02-36-54,153,120.43,BUY,288,
AAPL,2020-10-25-02-25-19,82,121.36,SELL,289,
AAPL,2020-10-25-02-09-25,168,120.49,BUY,290,
AAPL,2020-10-25-02-28-34,100,120.44,SELL,291,
AAPL,2020-10-25-02-32-32,126,120.55,SELL,292,
AAPL,2020-10-25-02-19-00,161,120.46,BUY,293,
AAPL,2020-10-25-02-20-55,92,120.63,BUY,294,
AAPL,2020-10-25-02-30-16,28,120.94,SELL,295,
AAPL,2020-10-25-02-25-40,102,120.17,SELL,296,
AAPL,2020-10-25-02-31-39,129,120.48,BUY,297,
AAPL,2020-10-25-02-22-14,80,120.43,SELL,298,
AAPL,2020-10-25-02-26-32,114,120.62,BUY,299,
AAPL,2020-10-25-02-15-27,158,120.17,BUY,300,
AAPL,2020-10-25-02-23-32,102,120.39,SELL,301,
AAPL,2020-10-25-02-42-42,88,120.45,BUY,302,
AAPL,2020-10-25-02-19-01,146,120.8,SELL,303,
AAPL,2020-10-25-02-28-00,137,119.93,SELL,304,
AAPL,2020-10-25-02-18-26,102,120.98,BUY,305,
AAPL,2020-10-25-02-37-26,61,120.63,BUY,306,
AAPL,2020-10-25-02-32-22,41,121.04,SELL,307,
AAPL,2020-10-25-02-35-40,120,120.24,BUY,308,
AAPL,2020-10-25-02-43-57,146,120.72,BUY,309,
AAPL,2020-10-25-02-17-35,39,120.75,SELL,310,
AAPL,2020-10-25-02-39-27,72,120.79,BUY,311,
AAPL,2020-10-25-02-43-01,130,120.97,SELL,312,
AAPL,2020-10-25-02-35-47,151,119.99,SELL,313,
AAPL,2020-10-25-02-41-34,110,120.59,BUY,314,
AAPL,2020-10-25-02-36-43,190,120.44,BUY,315,
AAPL,2020-10-25-02-40-09,169,120.95,BUY,316,
AAPL,2020-10-25-02-23-49,162,120.19,BUY,317,
AAPL,2020-10-25-02-42-17,101,120.33,SELL,318,
AAPL,2020-10-25-02-04-19,126,120.6,BUY,319,
AAPL,2020-10-25-02-36-14,118,120.8,BUY,320,
AAPL,2020-10-25-02-37-45,110,120.72,BUY,321,
AAPL,2020-10-25-02-29-39,111,120.29,BUY,322,
AAPL,2020-10-25-02-12-45,79,120.7,SELL,323,
AAPL,2020-10-25-02-30-41,141,120.19,BUY,324,
AAPL,2020-10-25-02-28-29,167,120.17,BUY,325,
AAPL,2020-10-25-02-33-38,137,120.61,BUY,326,
AAPL,2020-10-25-02-15-08,126,120.12,BUY,327,
AAPL,2020-10-25-02-43-32,79,120.34,SELL,328,
AAPL,2020-10-25-02-34-18,171,121.21,SELL,329,
AAPL,2020-10-25-02-01-10,115,120.59,BUY,330,
AAPL,2020-10-25-02-52-58,81,120.33,SELL,331,
AAPL,2020-10-25-02-16-35,124,121,SELL,332,
AAPL,2020-10-25-02-37-16,82,120.33,BUY,333,
AAPL,2020-10-25-02-30-19,183,120.79,SELL,334,
AAPL,2020-10-25-02-19-11,105,120.45,SELL,335,
AAPL,2020-10-25-02-20-04,132,120.27,BUY,336,
AAPL,2020-10-25-02-34-44,128,120.93,SELL,337,
AAPL,2020-10-25-01-58-06,117,119.69,BUY,338,
AAPL,2020-10-25-02-32-55,132,119.95,SELL,339,
AAPL,2020-10-25-02-31-50,127,120.6,BUY,340,
AAPL,2020-10-25-02-33-08,113,120.84,BUY,341,
AAPL,2020-10-25-02-18-29,103,120.18,BUY,342,
AAPL,2020-10-25-02-25-47,82,120.09,BUY,343,
AAPL,2020-10-25-02-25-20,150,120.23,BUY,344,
AAPL,2020-10-25-02-18-53,113,120.82,SELL,345,
AAPL,2020-10-25-02-31-37,60,120.48,SELL,346,
AAPL,2020-10-25-02-21-22,77,120.95,SELL,347,
AAPL,2020-10-25-02-42-36,138,120.97,BUY,348,
AAPL,2020-10-25-02-57-27,107,120.56,BUY,349,
AAPL,2020-10-25-02-19-06,40,120.16,SELL,350,
AAPL,2020-10-25-02-36-53,120,120.79,BUY,351,
AAPL,2020-10-25-02-11-34,207,120.42,SELL,352,
AAPL,2020-10-25-02-47-46,100,120.09,SELL,353,
AAPL,2020-10-25-02-51-02,54,120.17,SELL,354,
AAPL,2020-10-25-02-17-47,80,120.52,BUY,355,
AAPL,2020-10-25-02-38-53,88,120.91,SELL,356,
AAPL,2020-10-25-02-33-09,114,120.5,SELL,357,
AAPL,2020-10-25-02-37-49,67,121.3,SELL,358,
AAPL,2020-10-25-02-41-10,91,120.15,BUY,359,
AAPL,2020-10-25-02-41-59,97,120.58,BUY,360,
AAPL,2020-10-25-02-48-00,120,120.36,BUY,361,
AAPL,2020-10-25-02-43-48,158,119.78,SELL,362,
AAPL,2020-10-25-02-04-18,179,120.6,BUY,363,
AAPL,2020-10-25-02-24-53,112,120.57,SELL,364,
AAPL,2020-10-25-02-24-04,129,120.37,SELL,365,
AAPL,2020-10-25-02-21-16,150,120.93,BUY,366,
AAPL,2020-10-25-02-30-02,192,120.74,SELL,367,
AAPL,2020-10-25-02-47-50,140,119.69,BUY,368,
AAPL,2020-10-25-02-39-20,82,120.74,BUY,369,
AAPL,2020-10-25-02-27-09,161,120.22,SELL,370,
AAPL,2020-10-25-02-38-32,99,120.68,SELL,371,
AAPL,2020-10-25-02-43-10,127,120.69,SELL,372,
AAPL,2020-10-25-02-09-40,96,120.52,BUY,373,
AAPL,2020-10-25-02-27-50,82,120.15,BUY,374,
AAPL,2020-10-25-02-34-23,144,120.49,SELL,375,
AAPL,2020-10-25-02-38-40,128,120.34,BUY,376,
AAPL,2020-10-25-02-34-47,159,119.76,SELL,377,
AAPL,2020-10-25-02-28-16,116,120.25,SELL,378,
AAPL,2020-10-25-02-33-02,96,120.28,SELL,379,
AAPL,2020-10-25-02-38-26,86,120.56,SELL,380,
AAPL,2020-10-25-02-31-34,188,120.56,BUY,381,
AAPL,2020-10-25-02-17-30,115,120.82,BUY,382,
AAPL,2020-10-25-02-21-22,98,120.53,SELL,383,
AAPL,2020-10-25-02-52-35,69,120.48,BUY,384,
AAPL,2020-10-25-02-31-44,57,120.11,SELL,385,
AAPL,2020-10-25-02-37-09,100,120.98,BUY,386,
AAPL,2020-10-25-02-42-58,29,120.18,BUY,387,
AAPL,2020-10-25-02-25-20,115,120.61,SELL,388,
AAPL,2020-10-25-02-32-54,53,120.5,SELL,389,
AAPL,2020-10-25-02-16-05,99,120.17,SELL,390,
AAPL,2020-10-25-02-42-06,34,121.08,SELL,391,
AAPL,2020-10-25-02-27-01,139,120.35,SELL,392,
AAPL,2020-10-25-02-38-42,170,120.55,SELL,393,
AAPL,2020-10-25-02-17-53,206,120.89,BUY,394,
AAPL,2020-10-25-02-22-06,121,120.44,BUY,395,
AAPL,2020-10-25-02-23-20,119,120.63,SELL,396,
AAPL,2020-10-25-02-19-13,158,121,BUY,397,
AAPL,2020-10-25-02-37-34,140,120.99,BUY,398,
AAPL,2020-10-25-02-42-45,97,120.74,SELL,399,
AAPL,2020-10-25-02-25-10,86,120.07,BUY,400,
AAPL,2020-10-25-02-30-52,144,120.31,BUY,401,
AAPL,2020-10-25-03-02-42,108,120.77,SELL,402,
AAPL,2020-10-25-02-48-13,119,120.62,BUY,403,
AAPL,2020-10-25-02-07-37,98,120.84,SELL,404,
AAPL,2020-10-25-02-52-17,45,120.68,SELL,405,
AAPL,2020-10-25-02-13-29,170,120.66,BUY,406,
AAPL,2020-10-25-02-20-01,90,120.96,SELL,407,
AAPL,2020-10-25-02-17-41,112,119.66,SELL,408,
AAPL,2020-10-25-02-05-15,94,120.53,BUY,409,
AAPL,2020-10-25-02-30-20,91,121.19,BUY,410,
AAPL,2020-10-25-02-30-24,95,120.52,SELL,411,
AAPL,2020-10-25-02-16-56,88,120.82,BUY,412,
AAPL,2020-10-25-02-20-56,99,120.38,BUY,413,
AAPL,2020-10-25-02-44-05,162,120.78,BUY,414,
AAPL,2020-10-25-02-26-59,101,120.87,BUY,415,
AAPL,2020-10-25-02-19-46,104,120.64,SELL,416,
AAPL,2020-10-25-02-18-19,139,120.6,BUY,417,
AAPL,2020-10-25-02-35-38,151,120.15,SELL,418,
AAPL,2020-10-25-02-30-06,98,120.65,BUY,419,
AAPL,2020-10-25-02-31-48,118,120.39,BUY,420,
AAPL,2020-10-25-02-39-18,135,120.36,BUY,421,
AAPL,2020-10-25-02-28-52,22,121.01,SELL,422,
AAPL,2020-10-25-02-32-17,144,120.55,BUY,423,
AAPL,2020-10-25-02-20-50,55,120.69,BUY,424,
AAPL,2020-10-25-02-14-43,112,120.28,BUY,425,
AAPL,2020-10-25-02-38-31,88,120.59,BUY,426,
AAPL,2020-10-25-02-11-27,112,120.2,SELL,427,
AAPL,2020-10-25-02-21-53,128,120.74,SELL,428,
AAPL,2020-10-25-02-22-24,96,120.41,SELL,429,
AAPL,2020-10-25-02-43-04,142,120.46,SELL,430,
AAPL,2020-10-25-02-28-07,125,120.45,SELL,431,
AAPL,2020-10-25-02-43-46,123,120.83,SELL,432,
AAPL,2020-10-25-02-37-17,184,120.09,BUY,433,
AAPL,2020-10-25-02-14-41,79,120.98,SELL,434,
AAPL,2020-10-25-02-12-14,62,120.26,BUY,435,
AAPL,2020-10-25-02-24-47,45,121.02,SELL,436,
AAPL,2020-10-25-02-41-45,187,120.64,SELL,437,
AAPL,2020-10-25-02-25-42,154,120.57,SELL,438,
AAPL,2020-10-25-02-35-29,143,120.47,BUY,439,
AAPL,2020-10-25-02-37-46,196,120.32,BUY,440,
AAPL,2020-10-25-02-42-34,68,120.51,BUY,441,
AAPL,2020-10-25-02-39-22,160,121.08,SELL,442,
AAPL,2020-10-25-02-47-37,80,120.84,SELL,443,
AAPL,2020-10-25-02-59-00,141,121.02,BUY,444,
AAPL,2020-10-25-02-41-02,171,121,BUY,445,
AAPL,2020-10-25-02-17-37,119,120.46,SELL,446,
AAPL,2020-10-25-02-36-22,22,121.24,SELL,447,
AAPL,2020-10-25-02-41-34,160,120.4,SELL,448,
AAPL,2020-10-25-02-37-47,200,120.76,BUY,449,
AAPL,2020-10-25-02-25-36,123,120.39,SELL,450,
